# reactions: 4
Time	S1	S2	S3	Fired Reaction
2.5613203898788435e-05	99509.0	245.0	0.0	 2
2.5683929930536348e-05	99507.0	246.0	0.0	 2
2.5914790609588593e-05	99505.0	247.0	0.0	 2
2.603088977978341e-05	99503.0	248.0	0.0	 2
2.6208511073861342e-05	99501.0	249.0	0.0	 2
2.6287211518422786e-05	99499.0	250.0	0.0	 2
2.6347792268300973e-05	99497.0	251.0	0.0	 2
2.6366218474677454e-05	99495.0	252.0	0.0	 2
2.6405644327768798e-05	99493.0	253.0	0.0	 2
2.641262289110388e-05	99491.0	254.0	0.0	 2
2.6480791962903027e-05	99489.0	255.0	0.0	 2
2.64921047944347e-05	99487.0	256.0	0.0	 2
2.66747532963835e-05	99485.0	257.0	0.0	 2
2.7230252846844518e-05	99483.0	258.0	0.0	 2
2.7324534710418715e-05	99481.0	259.0	0.0	 2
2.7401138437359945e-05	99479.0	260.0	0.0	 2
2.756817722430876e-05	99477.0	261.0	0.0	 2
2.7726133366254772e-05	99475.0	262.0	0.0	 2
2.773396343193789e-05	99473.0	263.0	0.0	 2
2.785285298365658e-05	99471.0	264.0	0.0	 2
2.8089529042236805e-05	99469.0	265.0	0.0	 2
2.8250660575782434e-05	99467.0	266.0	0.0	 2
2.846752999662189e-05	99465.0	267.0	0.0	 2
2.8491603293834586e-05	99463.0	268.0	0.0	 2
2.84936614105645e-05	99461.0	269.0	0.0	 2
2.851943095332252e-05	99459.0	270.0	0.0	 2
2.8830114034769112e-05	99457.0	271.0	0.0	 2
2.9044239020318147e-05	99455.0	272.0	0.0	 2
2.9069559776112903e-05	99453.0	273.0	0.0	 2
2.911113576628072e-05	99451.0	274.0	0.0	 2
2.924966216501769e-05	99449.0	275.0	0.0	 2
2.9493978584134916e-05	99447.0	276.0	0.0	 2
2.964126906494638e-05	99445.0	277.0	0.0	 2
2.970972415402214e-05	99443.0	278.0	0.0	 2
2.971934177881754e-05	99441.0	279.0	0.0	 2
2.972012832228719e-05	99439.0	280.0	0.0	 2
2.995960774073828e-05	99437.0	281.0	0.0	 2
3.000230195474242e-05	99435.0	282.0	0.0	 2
3.020958950960662e-05	99433.0	283.0	0.0	 2
3.022403471713275e-05	99431.0	284.0	0.0	 2
3.029064852844631e-05	99429.0	285.0	0.0	 2
3.029753418388114e-05	99427.0	286.0	0.0	 2
3.036230876431115e-05	99425.0	287.0	0.0	 2
3.0378676385040282e-05	99423.0	288.0	0.0	 2
3.0409331723657305e-05	99421.0	289.0	0.0	 2
3.0565451025468055e-05	99419.0	290.0	0.0	 2
3.077323900170612e-05	99417.0	291.0	0.0	 2
3.082012326022639e-05	99415.0	292.0	0.0	 2
3.0874169973250355e-05	99413.0	293.0	0.0	 2
3.103786191155086e-05	99411.0	294.0	0.0	 2
3.1125434025667184e-05	99409.0	295.0	0.0	 2
3.125408851586189e-05	99407.0	296.0	0.0	 2
3.1417190499305574e-05	99405.0	297.0	0.0	 2
3.148742007692851e-05	99403.0	298.0	0.0	 2
3.1672074952432333e-05	99402.0	298.0	0.0	 1
3.17652874146194e-05	99400.0	299.0	0.0	 2
3.184860335552994e-05	99398.0	300.0	0.0	 2
3.1979662989002226e-05	99396.0	301.0	0.0	 2
3.1986639386128076e-05	99394.0	302.0	0.0	 2
3.200759972596985e-05	99392.0	303.0	0.0	 2
3.2074505624797705e-05	99390.0	304.0	0.0	 2
3.2093483813209e-05	99388.0	305.0	0.0	 2
3.214679182793842e-05	99386.0	306.0	0.0	 2
3.2324997185871085e-05	99384.0	307.0	0.0	 2
3.239271255044671e-05	99382.0	308.0	0.0	 2
3.248450595935723e-05	99380.0	309.0	0.0	 2
3.2518585127784064e-05	99378.0	310.0	0.0	 2
3.2592267200006765e-05	99376.0	311.0	0.0	 2
3.2658248479425205e-05	99374.0	312.0	0.0	 2
3.269667388559908e-05	99372.0	313.0	0.0	 2
3.270940712762318e-05	99370.0	314.0	0.0	 2
3.282741872115404e-05	99368.0	315.0	0.0	 2
3.28667310737576e-05	99366.0	316.0	0.0	 2
3.2870446576539144e-05	99364.0	317.0	0.0	 2
3.3201958926984316e-05	99362.0	318.0	0.0	 2
3.3252371115458445e-05	99360.0	319.0	0.0	 2
